Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,Experiment ID
Hirosawa (1975),284.2,284.2,294,31.9,0.0367,0.047,0.0367,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_2-4 (100)
Aanasopoulou (2010),316.9654471,316.9654471,243.5222337,29.9577322,0.005,0.012,0.005,0.143174603,R,10,1.3,0,0,1,S10
Massone et al. (2009),351,351,351,33,0.00256,0.0133,0.00278,0,R,10,1,0,0,2,WS-T4-S2
Pilakoutas et al. (1995),500,400,400,38.6,0.0031,0.0283,0.0031,0.0017,R,10,2,0,0,2,SW6
Hirosawa (1975),571.3,571.3,284.2,20.8,0.0033,0.0177,0.0033,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-5 (144)
Mansur et al. (1992),429,429,460,31.4,0.0055,0.0314,0.0055,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,W3
Barda et al. (1977),544,512.6,482.3,27,0.005,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,2,B3-2
SLDRCE (2008),526.77,345,345,37.3,0.007,0.0372,0.0084,0.014,R,12,2.611111111,0,0,2,Zhou_SW2
Palermo and Vecchio (2002),605,605,605,18.8,0.0079,0.003,0.0073,0.001,F,35.93333333,0.749536178,0.370544721,0.077334287,2,DP2
Kuang and Ho (2008),520,520,520,31.3,0.0092,0,0.0105,0.021,R,12,1,0,0,1,U1.0-BC
Mansur et al. (1992),359,359,460,31.4,0.0062,0.0314,0.0062,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,W4
Lefas et al. (1990a),470,520,420,40.48,0.025,0.033,0.008,0.009,R,10,2.115384615,0,0.106415324,1,SW22
Oesterle et al. (1976),501.6,501.6,501.6,45.3,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0,2,B5
Hirosawa (1975),284.2,284.2,294,35.3,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_2-12 (108)
Hirosawa (1975),261.7,261.7,294,18.6,0.0024,0.0252,0.0024,0.000615752,B,13.33333333,1.75,0.3125,0,1,Hirosawa_2-2 (11)
Oesterle et al. (1979),460.9,460.9,460.9,44.1,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0.085207285,2,B9
Hirosawa (1975),406.7,414.9,414.9,20.8,0.004,0.0844,0.0108,0.037187413,R,5.3125,2,0,0.094230769,1,Hirosawa_9-4 (85)
Hirosawa (1975),406.7,419,419,20.8,0.005,0.0568,0.0026,0.009296853,R,10.625,1,0,0.094230769,2,Hirosawa_7-2 (73)
Hirosawa (1975),294,294,294,45.6,0.0244,0.047,0.0244,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_4-3 (120)
SLDRCE (2008),352,392,392,37.7,0.00534005,0.0223,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW5-3
Salonikios et al. (1999),610,610,610,23.9,0.0028,0.013,0.0028,0.017,R,12,1,0,0.07,2,LSW3
Han et al. (2002),395,335,335,36.9,0.0032,0.0127,0.0028,0.0099,R,7.5,3,0,0.1,1,W3
Tomazevic et al. (1996),478,478,538,54.8,0.0026,0.023,0.0026,0,R,19.4,1.443298969,0,0.076642336,2,SW23N2
Lefas et al. (1990a),470,520,420,34.64,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0.101726603,1,SW15
Hidalgo et al. (2002),471,471,471,15.7,0.0026,0.047222222,0.0025,0.0025,R,10.83333333,0.692307692,0,0,2,8
Lu et al. (2017),300,300,300,40.5,0.0053,0,0.0025,0,R,9.333333333,2,0,0.035868893,1,C1
Park et al. (2015),653,667,667,46.5,0.0036,0.097,0.0025,0.0624,R,7.5,1.166666667,0,0.06953405,2,S7
Barda et al. (1977),542,495.4,499.5,29,0.005,0.018,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,2,B1-1
Hirosawa (1975),284.2,284.2,294,34.9,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_2-7 (103)
SLDRCE (2008),352,392,392,19.7,0.004843924,0.0167,0.004650167,0.007265886,R,8,2,0,0.432586737,1,Zhang_SW1-4
Hirosawa (1975),406.7,421.3,421.3,20.8,0.004,0.0991,0.0057,0.018593707,R,5.3125,2,0,0.094230769,1,Hirosawa_9-1 (82)
Greifenhagen and Lestuzzi (2005),504,745,504,20.1,0.003,0,0.003,0,R,11.25,0.766666667,0,0.09673853,2,M3
Massone et al. (2009),424,424,448.2,25.5,0.00428,0.0312,0.00278,0,R,10,1,0,0,2,WS-T1-S1
Lu et al. (2018),300,300,300,40.5,0.0053,0,0.0025,0,R,9.333333333,2,0,0.040027605,1,C2
Park et al. (2015),653,667,667,46.5,0.0036,0.02,0.0025,0.062,R,7.5,1.166666667,0,0.06953405,1,S8
Kimura and Sugano (1996),580,658,658,79,0.00785,0.01178,0.01131,0.01178,B,17.5,1.714285714,0,0.100870253,2,W8N13
Christidis and Trezos (2017),564,568,568,25.37,0.01206,0.012329368,0.00113,0,R,6,1.866666667,0,0,2,W13
