Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,,,,,Experiment ID
Hirosawa (1975),284.2,284.2,294,31.9,0.0367,0.047,0.0367,0.001570796,B,45,1.066666667,0.307692308,0,3,,,,,Tanabe_2-4 (100)
Massone et al. (2009),351,351,351,33,0.00256,0.0133,0.00278,0,R,10,1,0,0,4,,,,,WS-T4-S2
Pilakoutas et al. (1995),500,400,400,38.6,0.0031,0.0283,0.0031,0.0017,R,10,2,0,0,2,,,,,SW6
Hirosawa (1975),571.3,571.3,284.2,20.8,0.0033,0.0177,0.0033,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-5 (144)
Mansur et al. (1992),429,429,460,31.4,0.0055,0.0314,0.0055,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,,,,,W3
Barda et al. (1977),544,512.6,482.3,27,0.005,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,3,,,,,B3-2
SLDRCE (2008),526.77,345,345,37.3,0.007,0.0372,0.0084,0.014,R,12,2.611111111,0,0,2,,,,,Zhou_SW2
Palermo and Vecchio (2002),605,605,605,18.8,0.0079,0.003,0.0073,0.001,F,35.93333333,0.749536178,0.370544721,0.077334287,4,,,,,DP2
Mansur et al. (1992),359,359,460,31.4,0.0062,0.0314,0.0062,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,,,,,W4
Oesterle et al. (1976),501.6,501.6,501.6,45.3,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0,2,,,,,B5
Hirosawa (1975),284.2,284.2,294,35.3,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_2-12 (108)
Oesterle et al. (1979),460.9,460.9,460.9,44.1,0.0029,0.0367,0.0063,0.0135,B,12.69607843,3.530501931,0.292402716,0.085207285,2,,,,,B9
